brokerage,company_number,company_name,CompanyName, CompanyNumber,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4
Roxburgh Group,7321768,J C ROXBURGH (INSURANCE BROKERS) LTD,ROXBURGH GROUP LIMITED,7321768,CORBRIDGE,NORTHUMBERLAND,,NE45 5PE,Private Limited Company,Active,United Kingdom,"74909 - Other professional, scientific and technical activities n.e.c.",,,
G D Anderson & Co Ltd (Connect),776446,ANDERSON & CO (INSURANCE BROKERS) LIMITED,G.D. ANDERSON & CO. LIMITED,776446,NEWCASTLE UPON TYNE,TYNE AND WEAR,UNITED KINGDOM,NE1 1PP,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Marsh Private Clients (Letchworth),3028313,MARSH & COMPANY INSURANCE BROKERS LIMITED,MARSH & COMPANY INSURANCE BROKERS LIMITED,3028313,LEICESTER,,,LE1 6XF,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Firth & Scott (Insurance Brokers) Ltd (Premier),786973,FIRTH & SCOTT (INSURANCE BROKERS) LIMITED,FIRTH & SCOTT (INSURANCE BROKERS) LIMITED,786973,NOTTINGHAM,NOTTS,,NG5 4HQ,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
PIB Risk Services Ltd T/as PIB Insurance Brokers (Retford),2682789,PIB RISK SERVICES LIMITED,PIB RISK SERVICES LIMITED,2682789,RETFORD,NOTTINGHAMSHIRE,,DN22 7SW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Irvine Commercial Insurance Brokers Ltd (Hedron Network),2482944,IRVINE COMMERCIAL INSURANCE BROKERS LIMITED,IRVINE COMMERCIAL INSURANCE BROKERS LIMITED,2482944,KENILWORTH,WARWICKSHIRE,ENGLAND,CV8 2LG,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Affinity Select Insurance Services Ltd (Advantage),3565404,AFFINITY SELECT INSURANCE SERVICES LIMITED,AFFINITY SELECT INSURANCE SERVICES LIMITED,3565404,UCKFIELD,EAST SUSSEX,,TN22 1QG,Private Limited Company,Active,United Kingdom,64191 - Banks,65110 - Life insurance,65120 - Non-life insurance,70229 - Management consultancy activities other than financial management
Hugh J. Boswell Limited trading as Saffron Insurance (Premier),318993,KADEM TRADING LIMITED T/A SAFFRON LOUNGE LTD,HUGH J. BOSWELL LIMITED,318993,NORWICH,NORFOLK,UNITED KINGDOM,NR1 2AH,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Lloyd Bolam Insurance Brokers Ltd (Brokerbility),3391748,LLOYD BOLAM INSURANCE BROKERS LTD,LLOYD BOLAM INSURANCE BROKERS LTD,3391748,SOUTHPORT,MERSEYSIDE,UNITED KINGDOM,PR9 9YF,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Smith England (Willis Network),8766959,JAPAN ENGLAND INSURANCE BROKERS LIMITED,SMITH ENGLAND LTD,8766959,WILMSLOW,CHESHIRE,,SK9 3UE,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
